Carimbo de data/hora,1 - Qual sua idade?,2 - Qual o seu meio principal de informação?,3 - Como está sua rotina? ,4 - Tem usado quais utensílios de prevenção indicados contra o coronavírus?,5 - É a favor do isolamento social para contenção do vírus ? ,6 - Como você está se sentindo neste momento de pandemia?,7 - Qual(is) sua(s) ocupação(ões)?,8 - É/São em um serviço considerado essencial?,9 - Qual sua renda mensal per capita antes da pandemia do Coronavírus?,10 - Você teve a redução desta renda durante a pandemia?
2020/04/16 2:08:11 PM GMT-3,20,"TV, sites oficiais de notícia, rádios",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Normal,Estudante,Sim,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:08:57 PM GMT-3,18,"TV, sites oficiais de notícia, rádios",Em isolamento total,Álcool em gel;Sabão,Sim,Preocupado,Estudante,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:12:07 PM GMT-3,21,"Redes sociais, amigos, familiares, grupos de whats.",Em isolamento total,Álcool em gel;Sabão,Sim,Preocupado,Estudante;CLT,Não,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/16 2:15:20 PM GMT-3,57 anos,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Ansioso;Depressivo;Preocupado,Servidor/funcionário público,Sim,"Acima de R$ 3135,00;",Não
2020/04/16 2:16:18 PM GMT-3,33,"TV, sites oficiais de notícia, rádios",Saindo para outras atividades,Álcool em gel;Sabão,Sim,Normal,Servidor/funcionário público,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:16:23 PM GMT-3,18,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso,Estudante,Não se aplica,"Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:17:11 PM GMT-3,27,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Estudante,Não,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/16 2:17:54 PM GMT-3,53,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:18:44 PM GMT-3,18,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Sabão,Sim,Ansioso;Depressivo,Estudante,Não se aplica,"De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
2020/04/16 2:19:08 PM GMT-3,18,"TV, sites oficiais de notícia, rádios",Em isolamento total,Álcool em gel;Sabão,Sim,Ansioso;Depressivo;Preocupado,Estudante,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:21:54 PM GMT-3,25,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal,Estudante,Não,"De R$ 522,50 a R$ 1045,00;",Não
2020/04/16 2:23:41 PM GMT-3,59,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:24:00 PM GMT-3,57,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:24:16 PM GMT-3,18,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Sabão,Sim,Preocupado,Estudante,Não se aplica,"De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
2020/04/16 2:24:26 PM GMT-3,28,"Redes sociais, amigos, familiares, grupos de whats.",Em isolamento total,Álcool em gel;Sabão,Sim,Ansioso,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:26:32 PM GMT-3,31,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:27:04 PM GMT-3,74 anos,"TV, sites oficiais de notícia, rádios",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,professora aposentada,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:32:14 PM GMT-3,27,"TV, sites oficiais de notícia, rádios",Em isolamento total,Sabão,Sim,Normal,Estudante,Não,"De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
2020/04/16 2:32:19 PM GMT-3,63 anos,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:33:40 PM GMT-3,65,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Preocupado,Aposentada,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:33:42 PM GMT-3,24,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Sabão,Sim,Normal,Estudante;CLT,Sim,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:33:52 PM GMT-3,58,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,empresário,Sim,"Acima de R$ 3135,00;",Não
2020/04/16 2:34:07 PM GMT-3,43,"TV, sites oficiais de notícia, rádios",Em isolamento total,Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:34:37 PM GMT-3,51,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Preocupado,Estudante;Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:35:02 PM GMT-3,44,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:35:35 PM GMT-3,25,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal,Pesquisador,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:38:45 PM GMT-3,18,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Normal,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:39:30 PM GMT-3,59,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,aposentada,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:40:00 PM GMT-3,27,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:40:24 PM GMT-3,47,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal,Autônomo,Não,"Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:40:31 PM GMT-3,56,"Redes sociais, amigos, familiares, grupos de whats.",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Autônomo,Não,"Acima de R$ 3135,00;","Sim, muito (mais da metade)"
2020/04/16 2:41:03 PM GMT-3,63,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Autônomo,Sim,"De R$ 1045,00 a R$ 3135,00;","Sim, muito (mais da metade)"
2020/04/16 2:41:07 PM GMT-3,26,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:41:31 PM GMT-3,22,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal;Preocupado,Estudante,Não,"Até R$ 522,50;",Não
2020/04/16 2:41:46 PM GMT-3,60 anos,"TV, sites oficiais de notícia, rádios",Em isolamento total,Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:42:11 PM GMT-3,23,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:42:19 PM GMT-3,58,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:42:25 PM GMT-3,22,"TV, sites oficiais de notícia, rádios",Em isolamento total,Álcool em gel;Sabão,Sim,Ansioso;Depressivo;Preocupado,Estudante;CLT,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:42:25 PM GMT-3,58,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal,Servidor/funcionário público;Aposentada,Não se aplica,"Acima de R$ 3135,00;",Não
2020/04/16 2:42:38 PM GMT-3,33 anos,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso,CLT,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:44:23 PM GMT-3,48,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Sim,"Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:45:07 PM GMT-3,29,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Sim,Normal;Preocupado,Estudante;Bolsista,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:45:21 PM GMT-3,33,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante;CLT,Sim,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:45:53 PM GMT-3,36,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Sabão,Sim,Depressivo,CLT,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:46:00 PM GMT-3,39,"Redes sociais, amigos, familiares, grupos de whats.",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Normal;Ansioso;Depressivo;Preocupado,Estudante;Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:46:58 PM GMT-3,17,"TV, sites oficiais de notícia, rádios",Em isolamento total,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Normal,Estudante,Não se aplica,"Até R$ 522,50;",Não
2020/04/16 2:47:41 PM GMT-3,47,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Sim,"Acima de R$ 3135,00;",Não
2020/04/16 2:48:22 PM GMT-3,30,"Redes sociais, amigos, familiares, grupos de whats.",Em isolamento total,Álcool em gel;Sabão,Sim,Preocupado,Estudante,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:48:30 PM GMT-3,28,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Álcool em gel;Sabão,Não,Ansioso;Depressivo;Preocupado,Estudante,Sim,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:48:53 PM GMT-3,29,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel,Sim,Ansioso;Preocupado,Servidor/funcionário público,Não,"De R$ 1045,00 a R$ 3135,00;",Não
2020/04/16 2:49:42 PM GMT-3,27,"TV, sites oficiais de notícia, rádios",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Ansioso;Preocupado,Estudante,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:49:51 PM GMT-3,71,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Luvas;Álcool em gel;Sabão,Sim,Preocupado,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:50:45 PM GMT-3,20,"Redes sociais, amigos, familiares, grupos de whats.",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Estudante,Não,"Acima de R$ 3135,00;",Não
2020/04/16 2:52:31 PM GMT-3,49,"TV, sites oficiais de notícia, rádios",Saindo só quando é inevitável,Máscaras;Álcool em gel;Sabão,Sim,Preocupado,Autônomo,Não se aplica,"Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
2020/04/16 2:52:44 PM GMT-3,17,"TV, sites oficiais de notícia, rádios",Saindo para outras atividades,"Nenhum, não tive interesse",Não,Ansioso;Preocupado,Estudante;CLT,Não,"De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
2020/04/16 2:53:00 PM GMT-3,40,"TV, sites oficiais de notícia, rádios",Em isolamento total,Máscaras;Álcool em gel;Sabão,Sim,Ansioso,Servidor/funcionário público,Não,"Acima de R$ 3135,00;",Não
